# Teks menu Master Looter dalam Bahasa Indonesia (id). Terjemahan mesin; belum
# diperiksa oleh penutur asli. Koreksi dipersilakan di GitHub
# (github.com/shin2344234/master-looter) atau di halaman Nexus mod ini.
#
# Satu baris per teks: bahasa Inggris asli, satu tab, lalu terjemahannya.
# Baris yang diawali # diabaikan, \n berarti ganti baris, dan baris tanpa
# terjemahan setelah tab tetap ditampilkan dalam bahasa Inggris.
# Setiap %d, %s, %.1f, dan penanda lain harus tetap berada di urutan yang
# sama, karena nilainya disisipkan saat game berjalan; baris yang mengubah
# penanda ini diabaikan saat dimuat agar tidak menampilkan nilai yang salah.
#
# Simpan file dengan nama ini di sebelah MasterLooter.asi untuk menimpa
# salinan bawaan di dalam plugin.

  bag full	  tas penuh
The game treats this as stealing and will put a bounty on you.	Game menganggap ini pencurian dan akan menjadikanmu buronan.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod ini tidak pernah mengayunkan beliung. Ia menjalankan urutan pecah milik urat bijih itu sendiri, dan dalam hal itu game hanya melewati satu baris jatuhan padahal ayunan asli melewati dua, jadi bonus alat pertambanganmu tidak menghasilkan apa-apa saat mod yang menambang. Ini menambahkan kembali bijih yang hilang lewat jalur jatuhan yang sama dipakai game, jadi ini benar-benar bijih yang tumpah di tanah, bukan item yang disalin ke tasmu. Atur ke nilai yang dibayar alatmu secara manual dikurangi satu: bor yang memberi tiga secara manual butuh 2 di sini. Ini hanya berlaku pada urat bijih yang dipecahkan mod ini, jadi menambang manual tidak terpengaruh dan keduanya tidak bisa ditumpuk.
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Menguliti hewan yang kamu bunuh, sekali per bangkai. Manusia masuk ke Mayat. Hasil menguliti tidak diperiksa terhadap filtermu. Mod tidak pernah melihatnya sebelum tiba, jadi sakelar ini semua atau tidak sama sekali.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	Menggeledah orang yang kamu bunuh, sekali per mayat. Hewan masuk ke Bangkai. Hasil penggeledahan tidak diperiksa terhadap filtermu, jadi sakelar ini juga semua atau tidak sama sekali.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Sesi ini: %ld diambil, %ld dikumpulkan, %ld ditangkap, %ld bangkai
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Kayu dan ranting di tanah, serta node yang menghasilkannya. Isi sebagian besar di antaranya dibaca dari data gim itu sendiri, jadi menolak kelas wood di tab Kelas membiarkan pohon tetap berdiri dan juga kayu di bawahnya. Di tempat gim tidak mengatakan apa pun tentang sebuah node, sakelar ini adalah satu-satunya kendali yang dimilikinya.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Untuk membiarkan satu spesies saja, atur item yang dihasilkannya ke tidak pernah di tab Item: Item_Tench, Item_Ricefish, Item_Iguana. Mod membaca baris makhluk itu sendiri di tabel karakter game, jadi ia tahu spesies apa yang sedang dilihatnya sebelum menangkap apa pun. Beberapa makhluk tidak umum masih mengandalkan tebakan dari nama modelnya dan hanya ditangkap berdasarkan kategori.
Treasure and keepsakes	Harta dan kenang-kenangan
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dua tombol sekaligus, jangan satu: setiap tombol tunggal sudah punya fungsi di game ini. Mod hanya membaca pad, jadi game tetap menerima kedua tombol. Pilih pasangan yang tidak melakukan apa-apa bersamaan, seperti dua tombol bahu, atau Back dengan satu tombol wajah.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dua hal yang menampung sesuatu. Peti, kotak, dan node rampasan yang kamu buka, yang jarang merespons peristiwa penjarahan. Dan apa pun di tanah yang tugasnya menampung sesuatu: botol, toples, periuk tanah liat, kantung air, vas, dan kotak penyimpanan yang kamu letakkan. Nonaktif secara bawaan, dan nonaktif berarti serak berisi tembikar dibiarkan di tempatnya. Kotak hadiah tidak termasuk, karena itu rampasan tersendiri dan masuk ke Harta dan kenang-kenangan di tab Kelas.\n\nApa yang keluar dari peti tidak diperiksa terhadap filtermu. Gim menyerahkan isinya sekaligus dan mod tidak pernah melihatnya sebagai objek, jadi untuk itu sakelar ini bersifat semua atau tidak sama sekali.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Belum terikat sampai kamu mengaturnya. Game menyebut pengambilan barang bertuan sebagai pencurian dan menjadikanmu buronan karenanya, jadi ini sakelar yang ingin kamu aktifkan sebentar lalu nonaktifkan lagi, yang kurang cocok untuk sebuah menu.
Unidentified nodes	Node tak dikenal
unidentified nodes off	node tak dikenal nonaktif
unidentified: could be a fish, a flying insect or a bird	tak dikenal: bisa jadi ikan, serangga terbang, atau burung
unidentified: could be an insect or a small animal	tak dikenal: bisa jadi serangga atau hewan kecil
unnamed item	item tanpa nama
Unsellable items	Item tak terjual
Use this language	Gunakan bahasa ini
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Memakai pemeriksaan Take or Steal milik game sendiri; barang bertuan dilewati sampai pemeriksaan itu teramati sekali.
using the player's own field	memakai field milik pemain sendiri
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Sayur, buah, dan biji-bijian: ubi jalar, barli, kubis, apel, anggur, dan sisa makanan hasil tani atau kumpulan lainnya, masih di tanaman atau tergeletak lepas. Dulu ini masuk Barang di tanah, itulah sebabnya menonaktifkan Tanaman tetap mengosongkan ladang: dari 72 slot koleksi di game, 44 adalah tanaman pangan dan hanya 28 adalah tanaman.
Verbose log	Log rinci
Verdict	Putusan
waiting	menunggu
waiting for the game to check an item	menunggu game memeriksa item
waiting for the game to check ownership once	menunggu game memeriksa kepemilikan sekali
Waiting for the world to load.	Menunggu dunia dimuat.
Watch	Pantau
Watch mode	Mode pantau
Watch mode (menu stays up, you keep playing)	Mode pantau (menu tetap terbuka, kamu terus bermain)
Watch mode: the game has your controls. %s to interact, %s to close.	Mode pantau: game memegang kontrolmu. %s untuk berinteraksi, %s untuk menutup.
Weapons and armor	Senjata dan zirah
What enters the working list at all. The ranges below are clamped to it.	Apa saja yang masuk ke daftar kerja. Jangkauan di bawah dibatasi olehnya.
What to collect	Apa yang dikumpulkan
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Memutar engkol untukmu dan mengambil apa yang naik, dengan menjalankan transisi status yang sama seperti saat kamu menahan tombol interaksi. Sumur sama sekali tidak memunculkan event loot, jadi ini adalah pemutaran ulang urutan yang sudah direkam, bukan game yang diminta sesuatu. Nonaktif secara default, karena sumur yang salah diproses adalah sumur yang tertinggal tanpa embernya.
Wood	Kayu
wood off	kayu nonaktif
World (actor manager)	Dunia (actor manager)
worn by someone	dikenakan orang lain
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Perlengkapan yang dikenakan yang dijatuhkan musuh saat mati. Murah dan berat, tapi berlimpah.
worn or carried by you	dikenakan atau dibawa olehmu
worth %lld copper	senilai %lld tembaga
Wrap the swapchain	Bungkus swapchain
Write translation template	Tulis template terjemahan
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Menulis MasterLooter.template.txt di sebelah plugin, berisi setiap baris yang sudah ditampilkan menu di sesi ini. Buka semua tab dulu, karena satu baris baru muncul setelah digambar. Terjemahkan sisi kanan tiap catatan, simpan sebagai MasterLooter.<language>.txt, lalu masukkan nama bahasa itu di sini.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Menulis pengaturan saat ini ke \"%s\". Muat, ubah sesukamu, lalu simpan kembali.
Writes the settings as they are now, named %s.	Menulis pengaturan saat ini, dengan nama %s.
yes	ya
your rules refuse all ore, jewels and stone	aturanmu menolak bijih, permata, dan batu
your rules refuse all stone	aturanmu menolak semua batu
your rules refuse everything this node holds	aturanmu menolak semua yang ada di node ini
part of a mechanism, not loose loot	bagian dari mekanisme, bukan jarahan lepas
yours, just out of your hand	milikmu, baru saja lepas dari tanganmu
