# Textul meniului Master Looter in limba romana (ro). Traducere automata;
# niciun vorbitor nativ nu a verificat-o inca. Corecturile sunt binevenite pe
# GitHub (github.com/shin2344234/master-looter) sau pe pagina de Nexus a
# modului.
#
# O linie per text: originalul in engleza, o tabulare, apoi traducerea.
# Liniile care incep cu # sunt ignorate. \n reprezinta o schimbare de linie.
# O linie fara nimic dupa tabulare ramane afisata in engleza, deci un fisier
# partial tradus este perfect utilizabil. Pastreaza fiecare %d, %s, %.1f si
# celelalte substituente exact cum apar si in aceeasi ordine: sunt inlocuite
# cu numere si nume in timpul rularii.
#
# Salveaza ca MasterLooter.ro.txt langa MasterLooter.asi pentru a suprascrie
# copia inclusa in plugin, apoi seteaza Language=ro in MasterLooter.ini sau
# scrie limba in meniul General, Language.
  bag full	  inventar plin
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Modul nu ridică niciodată un târnăcop. El acționează secvența proprie de spargere a zăcământului, iar jocul parcurge un singur rând de cădere pentru asta, unde o lovitură reală parcurge două, deci bonusul uneltei tale de minerit nu dă nimic când modul face mineritul. Asta adaugă minereul lipsă înapoi prin aceeași cale de cădere pe care o folosește jocul, deci este minereu real vărsat pe jos, nu un obiect copiat în inventarul tău. Setează-o la ce oferă unealta ta manual minus unu: un burghiu care dă trei manual vrea 2 aici. Se aplică doar unui zăcământ spart de acest mod, deci mineritul manual rămâne neatins și cele două nu se pot acumula.
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Jupuirea animalelor pe care le ucizi, o dată per carcasă. Oamenii intră la Cadavre umane. Ce aduce jupuirea nu este verificat cu filtrele tale. Modul nu îl vede niciodată înainte să ajungă, așa că acest comutator este totul sau nimic.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	Percheziționarea oamenilor pe care îi ucizi, o dată per cadavru. Animalele intră la Carcase. Ce aduce o percheziție nu este verificat cu filtrele tale, așa că și acest comutator este totul sau nimic.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Această sesiune: %ld ridicate, %ld recoltate, %ld capturate, %ld carcase
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Lemn și crengi de pe jos, și punctele care le dau. Ce conțin cele mai multe dintre ele este citit chiar din datele jocului, așa că refuzarea clasei wood în fila Clase lasă copacii în picioare și, la fel, lemnul de sub ei. Acolo unde jocul nu spune nimic despre un punct, acest comutator este singurul control pe care îl are.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Ca să lași o specie în pace, setează la niciodată obiectul în care se transformă, în fila Obiecte: Item_Tench, Item_Ricefish, Item_Iguana. Modul citește rândul propriu al creaturii din tabelul de personaje al jocului, deci știe ce specie observă înainte să prindă ceva. Câteva creaturi neobișnuite tot recurg la ghicire după numele modelului și sunt prinse doar după categorie.
Treasure and keepsakes	Comori și suveniruri
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Două butoane deodată, niciodată unul singur: fiecare buton face deja ceva în acest joc. Modul doar citește controllerul, deci jocul tot vede ambele butoane. Alege o pereche care nu face nimic împreună, cum ar fi cele două butoane din spate, sau Back și un buton frontal.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Două lucruri care conțin lucruri. Cuferele, lăzile și punctele de pradă pe care le deschizi și care rareori răspund la evenimentul de jefuire. Și orice de pe jos a cărui treabă este să conțină ceva: sticle, borcane, oale de lut, burdufuri, vaze și lăzile de depozitare pe care le așezi tu. Oprit din start, iar oprit înseamnă că un raft de ceramică rămâne unde este. Cutiile de recompensă nu intră aici, fiindcă acelea sunt pradă în sine și țin de Comori și suveniruri din fila Clase.\n\nCe iese dintr-un cufăr nu este verificat față de filtrele tale. Jocul predă conținutul dintr-o singură mișcare, iar modul nu îl vede niciodată ca obiecte, așa că pentru acelea acest comutator este totul sau nimic.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Neasignat până îl setezi. Jocul numește furt luarea bunurilor deținute și îți pune recompensă pe cap pentru asta, deci acesta e comutatorul pe care vrei să-l activezi pentru o clipă și să-l dezactivezi la loc, ceva ce se potrivește prost cu un meniu.
Unidentified nodes	Puncte neidentificate
unidentified nodes off	puncte neidentificate dezactivate
unidentified: could be a fish, a flying insect or a bird	neidentificat: ar putea fi pește, insectă zburătoare sau pasăre
unidentified: could be an insect or a small animal	neidentificat: ar putea fi insectă sau animal mic
unnamed item	obiect fără nume
Unsellable items	Obiecte nevandabile
Use this language	Folosește această limbă
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Folosește propria verificare a jocului de tip Ia sau Fură; bunurile deținute sunt ignorate până când aceasta a fost observată o dată.
using the player's own field	folosind câmpul propriu al jucătorului
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Legume, fructe și cereale: cartof dulce, orz, varză, mere, struguri și restul hranei cultivate sau culese, fie pe plantă, fie căzută pe jos. Acestea răspundeau înainte la Obiecte de pe jos, de-aia dezactivarea lui Plante tot golea un câmp: din cele 72 de socluri de colectare din joc, 44 sunt culturi și doar 28 sunt plante.
Verbose log	Jurnal detaliat
Verdict	Verdict
waiting	așteaptă
waiting for the game to check an item	așteaptă ca jocul să verifice un obiect
waiting for the game to check ownership once	așteaptă ca jocul să verifice proprietatea o dată
Waiting for the world to load.	Se așteaptă încărcarea lumii.
Watch	Observă
Watch mode	Mod observare
Watch mode (menu stays up, you keep playing)	Mod observare (meniul rămâne deschis, tu continui să joci)
Watch mode: the game has your controls. %s to interact, %s to close.	Mod observare: jocul are controalele tale. %s pentru a interacționa, %s pentru a închide.
Weapons and armor	Arme și armuri
What enters the working list at all. The ranges below are clamped to it.	Ce ajunge deloc în lista de lucru. Distanțele de mai jos sunt limitate la aceasta.
What to collect	Ce să colectezi
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Învârte manivela pentru tine și ia ce iese, acționând aceleași tranziții de stare pe care le acționează jocul când ții apăsat butonul de interacțiune. O fântână nu generează niciun eveniment de loot, deci asta este o redare a unei secvențe capturate, nu o cerere adresată jocului. Dezactivat implicit, pentru că o fântână greșită rămâne fără găleata ei.
Wood	Lemn
wood off	lemn dezactivat
World (actor manager)	Lume (administrator de actori)
worn by someone	purtat de cineva
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Echipament purtat pe care inamicii îl lasă când mor. Ieftin și greu, dar din abundență.
worn or carried by you	purtat sau cărat de tine
worth %lld copper	valorează %lld aramă
Wrap the swapchain	Încapsulează swapchain-ul
Write translation template	Scrie șablonul de traducere
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Scrie MasterLooter.template.txt lângă plugin, conținând fiecare linie afișată de meniu în această sesiune. Deschide mai întâi fiecare filă, pentru că o linie apare doar după ce a fost desenată. Tradu partea dreaptă a fiecărei înregistrări, salveaz-o ca MasterLooter.<language>.txt și pune acea limbă aici.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Scrie setările așa cum sunt acum în \"%s\". Încarc-o, schimbă ce vrei, apoi salveaz-o la loc.
Writes the settings as they are now, named %s.	Scrie setările așa cum sunt acum, denumite %s.
yes	da
your rules refuse all ore, jewels and stone	regulile tale refuză minereul, gemele și piatra
your rules refuse all stone	regulile tale refuză toată piatra
your rules refuse everything this node holds	regulile tale refuză tot ce conține acest punct
part of a mechanism, not loose loot	parte dintr-un mecanism, nu pradă răzleață
yours, just out of your hand	al tău, tocmai scăpat din mână
