# Κείμενο μενού του Master Looter στα Ελληνικά.
# Αυτή είναι αυτόματη μετάφραση από το Claude, ένα AI της Anthropic, και δεν
# την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι ευπρόσδεκτες
# στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
Puts every setting and rule back to what it was at that moment.	Επαναφέρει κάθε ρύθμιση και κανόνα σε αυτό που ήταν εκείνη τη στιγμή.
puzzle or protected mechanism	γρίφος ή προστατευμένος μηχανισμός
Quest items	Αντικείμενα αποστολής
quest or memory trigger	ενεργοποιητής αποστολής ή μνήμης
Ranges (metres)	Εμβέλειες (μέτρα)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Αρουραίοι, σκίουροι, πουλιά, σαύρες, βάτραχοι και σαλαμάνδρες: ό,τι άλλο βάζει το παιχνίδι ολόκληρο στην τσάντα.
Reaching nodes	Φτάσιμο κόμβων
Read from the file beside the plugin, not the copy inside it.	Διαβάζεται από το αρχείο δίπλα στο plugin, όχι το αντίγραφο μέσα σε αυτό.
Rebind	Επαναρύθμιση
Recent loot	Πρόσφατα λάφυρα
Refresh	Ανανέωση
Reload now	Επαναφόρτωση τώρα
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Αντικαθιστά κάθε ρύθμιση και κάθε κανόνα κατηγορίας, ετικέτας και αντικειμένου με ό,τι περιέχει η προεπιλογή, και το γράφει στο MasterLooter.ini. Τίποτα από τις τρέχουσες ρυθμίσεις δεν κρατιέται, οπότε πάρε αντίγραφο ασφαλείας πρώτα αν τις θέλεις.
Reset all tags	Επαναφορά όλων των ετικετών
resolved	εντοπίστηκε
Retry the same object after (ms)	Ξαναδοκίμασε το ίδιο αντικείμενο μετά από (ms)
Route id	Αναγνωριστικό διαδρομής
Rule	Κανόνας
Save now	Αποθήκευση τώρα
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Αποθηκεύτηκε ως \"%s\": ένα όνομα προεπιλογής κρατάει γράμματα, ψηφία, κενά, παύλες και κάτω παύλες.
Say so on screen when the bag stops taking things	Δείξε το στην οθόνη όταν η τσάντα σταματήσει να δέχεται πράγματα
scan %.1f ms	σάρωση %.1f ms
Scan radius	Ακτίνα σάρωσης
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Σαρώσεις %ld, συμβάντα στάλθηκαν %ld, pump ticks %ld, φυλαγμένα σφάλματα %ld, είδη κόμβων μαθεύτηκαν %d
Scans per second	Σαρώσεις ανά δευτερόλεπτο
search item name or key (3+ letters)	αναζήτησε όνομα ή κλειδί αντικειμένου (3+ γράμματα)
Sending events	Αποστολή συμβάντων
Set	Ορισμός
Settings: %ls	Ρυθμίσεις: %ls
Show a brief notice when auto-loot is toggled	Δείξε σύντομη ειδοποίηση όταν αλλάζει το αυτόματο λουτ
Showing current overrides. Type to search all %d items.	Εμφανίζονται οι τρέχουσες παρακάμψεις. Πληκτρολόγησε για αναζήτηση σε όλα τα %d αντικείμενα.
Showing the nearest %d of %d. The rest are further away.	Εμφανίζονται τα %d πιο κοντινά από %d. Τα υπόλοιπα είναι πιο μακριά.
Skip all	Παράλειψη όλων
Skip items shops refuse to buy	Παράλειψε αντικείμενα που τα μαγαζιά αρνούνται να αγοράσουν
Skip quest items	Παράλειψε αντικείμενα αποστολής
skip: %s	παράλειψη: %s
Small animals	Μικρά ζώα
small animals off	μικρά ζώα ανενεργά
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Κάποια αντικείμενα του κόσμου δεν έχουν αναγνώσιμο όνομα αντικειμένου. Ενεργό: πάρ' τα ούτως ή άλλως. Ανενεργό: άφησε ό,τι είναι αταύτιστο.
someone is wearing this; taking it would copy it	κάποιος το φοράει· αν το πάρεις θα δημιουργηθεί αντίγραφο
stack at one point (storage contents)	στοίβα σε ένα σημείο (περιεχόμενα αποθήκευσης)
Status	Κατάσταση
Stop pets looting	Εμπόδισε τα κατοικίδια να μαζεύουν
Stop pets looting at all	Εμπόδισε εντελώς τα κατοικίδια να μαζεύουν
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Τραπέζια, καρέκλες, κρεβάτια, χαλιά, λάμπες, κεριά, πίνακες, δοχεία και τα υπόλοιπα ενός επιπλωμένου δωματίου, είτε τα μαζεύεις από το πάτωμα είτε τα παίρνεις από τον δικό τους κόμβο αλληλεπίδρασης. Τα περισσότερα αξίζουν ένα-δύο χαλκά, αλλά τα χαλιά και τα πολυτελή κρεβάτια φτάνουν στις χιλιάδες, οπότε ενεργοποίησέ το πριν επιπλώσεις ένα σπίτι. Τα κιβώτια και τα άλλα πράγματα που κρατούν κάτι υπάγονται στα Δοχεία αντί για εδώ. Ανενεργό εξ ορισμού.
Tag	Ετικέτα
Tags	Ετικέτες
tags, any of which can be set to never in the Tags tab:	ετικέτες, καθεμία από τις οποίες μπορεί να οριστεί σε ποτέ στην καρτέλα Ετικέτες:
Take goods that belong to someone	Πάρε αγαθά που ανήκουν σε κάποιον
Take goods that belong to someone, on / off	Πάρε αγαθά που ανήκουν σε κάποιον, ενεργό / ανενεργό
Take items the database cannot name	Πάρε αντικείμενα που η βάση δεδομένων δεν μπορεί να ονομάσει
Pets and companions follow the filters	Τα κατοικίδια και οι σύντροφοι ακολουθούν τα φίλτρα
Take owned goods on / off	Πάρε ιδιόκτητα αγαθά, ενεργό / ανενεργό
take this one by hand, looting it can lock the quest	πάρ' το αυτό με το χέρι, το μάζεμά του μπορεί να κλειδώσει την αποστολή
takes effect next launch	ισχύει από την επόμενη εκκίνηση
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Η μηχανή σαρώνει γύρω σου και παίρνει ό,τι επιτρέπουν οι κανόνες. Ανενεργό σημαίνει ότι δεν παίρνεται τίποτα αυτόματα· το πλήκτρο ριπής εξακολουθεί να δουλεύει.
The game asks two questions before a pet loots, one for a loose item on the ground and one for a body, and this answers both with no. A pet reaches for nothing, so nothing of yours is ever deleted afterwards and your own pick-ups are never in question. The cleaner of the two answers if you simply do not want a pet looting. Whether it reaches a mercenary has not been tested. The game carries one looting rule of this kind and both of its questions are answered no, so it may; Pets and companions follow the filters is the switch that certainly does.	Το παιχνίδι κάνει δύο ερωτήσεις πριν μαζέψει ένα κατοικίδιο, μία για ένα πεσμένο αντικείμενο στο έδαφος και μία για ένα πτώμα, και αυτό απαντά όχι και στις δύο. Ένα κατοικίδιο δεν απλώνει χέρι σε τίποτα, οπότε τίποτα δικό σου δεν διαγράφεται μετά και τα δικά σου μαζέματα δεν αμφισβητούνται ποτέ. Η καθαρότερη από τις δύο απαντήσεις αν απλώς δεν θέλεις ένα κατοικίδιο να μαζεύει. Αν φτάνει σε μισθοφόρο δεν έχει δοκιμαστεί. Το παιχνίδι φέρει έναν μόνο κανόνα μαζέματος αυτού του είδους και στις δύο ερωτήσεις του απαντάται όχι, οπότε μπορεί και να φτάνει· το Τα κατοικίδια και οι σύντροφοι ακολουθούν τα φίλτρα είναι ο διακόπτης που σίγουρα το κάνει.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Το παιχνίδι γεμίζει τα δεδομένα ενός κόμβου μόνο όταν πιστεύει ότι μπορείς να τον φτάσεις. Η όπλιση του ζητάει να το κάνει αυτό από απόσταση, κάτι που επιτρέπει επίσης μια φλέβα μεταλλεύματος να συλλέγεται εκεί που στέκεται. Οι φλέβες χρειάζονται αρκετά δευτερόλεπτα για να απαντήσουν εκεί που ένας θάμνος χρειάζεται κλάσμα ενός.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Το παιχνίδι αφαιρεί τα παρμένα αντικείμενα με καθυστέρηση. Αυτό εμποδίζει το ίδιο αντικείμενο να σταλεί δύο φορές όσο ξεθωριάζει.
The game treats this as stealing and will put a bounty on you.	Το παιχνίδι το θεωρεί κλοπή και θα βάλει κεφαλή σε σένα.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Το mod δεν χτυπάει ποτέ με αξίνα. Οδηγεί την ίδια την ακολουθία σπασίματος της φλέβας, και το παιχνίδι διατρέχει μία σειρά πτώσης για αυτό εκεί που ένα πραγματικό χτύπημα διατρέχει δύο, οπότε το μπόνους του εργαλείου εξόρυξής σου δεν πληρώνει τίποτα όταν την εξόρυξη την κάνει το mod. Αυτό προσθέτει πίσω το μετάλλευμα που λείπει μέσα από το ίδιο μονοπάτι πτώσης που χρησιμοποιεί το παιχνίδι, οπότε είναι πραγματικό μετάλλευμα χυμένο στο έδαφος, όχι αντικείμενο αντιγραμμένο στην τσάντα σου. Όρισέ το σε ό,τι πληρώνει το εργαλείο σου με το χέρι μείον ένα: ένα τρυπάνι που δίνει τρία με το χέρι θέλει 2 εδώ. Ισχύει μόνο για φλέβα που έσπασε αυτό το mod, οπότε η εξόρυξη με το χέρι μένει ανέγγιχτη και τα δύο δεν μπορούν να προστεθούν μαζί.
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Γδάρσιμο των ζώων που σκοτώνεις, μία φορά ανά κουφάρι. Οι άνθρωποι ανήκουν στα Πτώματα. Ό,τι αποδίδει το γδάρσιμο δεν ελέγχεται με τα φίλτρα σου. Το mod δεν το βλέπει ποτέ πριν φτάσει, οπότε αυτός ο διακόπτης είναι όλα ή τίποτα.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	Έρευνα των ανθρώπων που σκοτώνεις, μία φορά ανά πτώμα. Τα ζώα ανήκουν στα Κουφάρια. Ό,τι αποδίδει μια έρευνα δεν ελέγχεται με τα φίλτρα σου, οπότε κι αυτός ο διακόπτης είναι όλα ή τίποτα.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Αυτή η συνεδρία: %ld μαζεύτηκαν, %ld συλλέχθηκαν, %ld πιάστηκαν, %ld κουφάρια
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Ξυλεία και κλαδιά στο έδαφος, και οι κόμβοι που τα δίνουν. Αυτό που περιέχουν οι περισσότεροι από αυτούς διαβάζεται από τα ίδια τα δεδομένα του παιχνιδιού, οπότε η απόρριψη της κατηγορίας wood στην καρτέλα Κατηγορίες αφήνει τα δέντρα όρθια και μαζί την ξυλεία από κάτω τους. Εκεί που το παιχνίδι δεν λέει τίποτα για έναν κόμβο, αυτός ο διακόπτης είναι ο μόνος έλεγχος που έχει.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Για να αφήσεις ένα είδος ανέγγιχτο, όρισε αυτό που γίνεται σε ποτέ στην καρτέλα Αντικείμενα: Item_Tench, Item_Ricefish, Item_Iguana. Το mod διαβάζει τη δική της γραμμή του πλάσματος στον πίνακα χαρακτήρων του παιχνιδιού, οπότε ξέρει ποιο είδος βλέπει πριν πιάσει οτιδήποτε. Μερικά ασυνήθιστα πλάσματα εξακολουθούν να μαντεύονται από το όνομα του μοντέλου τους και πιάνονται μόνο κατά κατηγορία.
Treasure and keepsakes	Θησαυρός και ενθύμια
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Δύο πλήκτρα μαζί, ποτέ ένα: κάθε μεμονωμένο πλήκτρο κάνει ήδη κάτι σε αυτό το παιχνίδι. Το mod απλώς διαβάζει το χειριστήριο, οπότε το παιχνίδι εξακολουθεί να βλέπει και τα δύο πλήκτρα. Διάλεξε ένα ζευγάρι που δεν κάνει τίποτα μαζί, όπως τα δύο πλήκτρα ώμου, ή το Back και ένα πλήκτρο όψης.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Δύο πράγματα που περιέχουν πράγματα. Τα σεντούκια, τα κιβώτια και οι κόμβοι λείας που ανοίγεις και που σπάνια απαντούν στο συμβάν μαζέματος. Και οτιδήποτε στο έδαφος έχει ως δουλειά να περιέχει κάτι: μπουκάλια, βάζα, πήλινα δοχεία, ασκιά νερού, αγγεία και τα κιβώτια αποθήκευσης που τοποθετείς εσύ. Ανενεργό εξ ορισμού, και ανενεργό σημαίνει ότι ένα ράφι με κεραμικά μένει εκεί που είναι. Τα κιβώτια ανταμοιβής δεν καλύπτονται, γιατί αυτά είναι λεία από μόνα τους και ανήκουν στο Θησαυρός και ενθύμια στην καρτέλα Κατηγορίες.\n\nΌ,τι βγαίνει από ένα σεντούκι δεν ελέγχεται με τα φίλτρα σου. Το παιχνίδι παραδίδει το περιεχόμενο μονομιάς και το mod δεν το βλέπει ποτέ ως αντικείμενα, οπότε γι' αυτά αυτός ο διακόπτης είναι όλα ή τίποτα.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Χωρίς ανάθεση μέχρι να το ορίσεις. Το παιχνίδι ονομάζει κλοπή το να παίρνεις ιδιόκτητα αγαθά και σου βάζει κεφαλή για αυτό, οπότε αυτός είναι ο διακόπτης που θες ενεργό για μια στιγμή και μετά ανενεργό ξανά, κάτι που ταιριάζει άσχημα σε ένα μενού.
Unidentified nodes	Αταύτιστοι κόμβοι
unidentified nodes off	αταύτιστοι κόμβοι ανενεργοί
unidentified: could be a fish, a flying insect or a bird	αταύτιστο: μπορεί να είναι ψάρι, πετούμενο έντομο ή πουλί
unidentified: could be an insect or a small animal	αταύτιστο: μπορεί να είναι έντομο ή μικρό ζώο
unnamed item	ανώνυμο αντικείμενο
Unsellable items	Αντικείμενα που δεν πωλούνται
Use this language	Χρήση αυτής της γλώσσας
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Χρησιμοποιεί τον δικό του έλεγχο Πάρε ή Κλέψε του παιχνιδιού· τα ιδιόκτητα αγαθά παραλείπονται μέχρι να παρατηρηθεί μία φορά.
using the player's own field	χρησιμοποιώντας το δικό του πεδίο του παίκτη
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Λαχανικά, φρούτα και δημητριακά: γλυκοπατάτα, κριθάρι, λάχανο, μήλα, σταφύλια και τα υπόλοιπα καλλιεργημένα και μαζεμένα τρόφιμα, πάνω στο φυτό ή πεσμένα ελεύθερα. Αυτά παλιότερα υπάγονταν στα Αντικείμενα στο έδαφος, γι' αυτό η απενεργοποίηση των Φυτών άδειαζε ακόμα ένα χωράφι: από τις 72 θέσεις συλλογής στο παιχνίδι, οι 44 είναι καλλιέργειες και μόνο 28 είναι φυτά.
Verbose log	Αναλυτικό αρχείο καταγραφής
Verdict	Ετυμηγορία
waiting	αναμονή
waiting for the game to check an item	αναμονή για να ελέγξει το παιχνίδι ένα αντικείμενο
waiting for the game to check ownership once	αναμονή για να ελέγξει το παιχνίδι την ιδιοκτησία μία φορά
Waiting for the world to load.	Αναμονή να φορτωθεί ο κόσμος.
Watch	Παρακολούθηση
Watch mode	Λειτουργία παρακολούθησης
Watch mode (menu stays up, you keep playing)	Λειτουργία παρακολούθησης (το μενού μένει ανοιχτό, εσύ συνεχίζεις να παίζεις)
Watch mode: the game has your controls. %s to interact, %s to close.	Λειτουργία παρακολούθησης: το παιχνίδι έχει τα χειριστήριά σου. %s για αλληλεπίδραση, %s για κλείσιμο.
Weapons and armor	Όπλα και πανοπλίες
What enters the working list at all. The ranges below are clamped to it.	Τι μπαίνει καν στη λίστα εργασίας. Οι παρακάτω εμβέλειες περιορίζονται σε αυτό.
What to collect	Τι να συλλέγεται
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Γυρίζει τη χειρολαβή για σένα και παίρνει ό,τι ανεβαίνει, οδηγώντας τις ίδιες μεταβάσεις κατάστασης που οδηγεί το παιχνίδι όταν κρατάς πατημένο το πλήκτρο αλληλεπίδρασης. Ένα πηγάδι δεν εγείρει κανένα συμβάν λουτ, οπότε αυτό είναι μια επανάληψη μιας καταγεγραμμένης ακολουθίας και όχι το παιχνίδι να του ζητείται κάτι. Ανενεργό εξ ορισμού, γιατί ένα πηγάδι που πάει στραβά μένει χωρίς τον κουβά του.
Wood	Ξύλο
wood off	ξύλο ανενεργό
World (actor manager)	Κόσμος (διαχειριστής actor)
worn by someone	φοριέται από κάποιον
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Φορεμένος εξοπλισμός που ρίχνουν οι εχθροί καθώς πεθαίνουν. Φτηνός και βαρύς, αλλά άφθονος.
worn or carried by you	φοριέται ή κουβαλιέται από σένα
worth %lld copper	αξίζει %lld χαλκό
Wrap the swapchain	Τύλιξε το swapchain
Write translation template	Εγγραφή προτύπου μετάφρασης
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Γράφει το MasterLooter.template.txt δίπλα στο plugin, με κάθε γραμμή που έχει εμφανίσει το μενού σε αυτή τη συνεδρία. Άνοιξε πρώτα κάθε καρτέλα, αφού μια γραμμή εμφανίζεται μόνο αφού έχει σχεδιαστεί. Μετάφρασε τη δεξιά πλευρά κάθε εγγραφής, αποθήκευσέ το ως MasterLooter.<γλώσσα>.txt, και βάλε αυτή τη γλώσσα εδώ.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Γράφει τις ρυθμίσεις όπως είναι τώρα μέσα στο \"%s\". Φόρτωσέ το, άλλαξε ό,τι θες, και μετά αποθήκευσέ το ξανά.
Writes the settings as they are now, named %s.	Γράφει τις ρυθμίσεις όπως είναι τώρα, με όνομα %s.
yes	ναι
your rules refuse all ore, jewels and stone	οι κανόνες σου απορρίπτουν μετάλλευμα, πολύτιμους λίθους και πέτρα
your rules refuse all stone	οι κανόνες σου απορρίπτουν κάθε πέτρα
your rules refuse everything this node holds	οι κανόνες σου απορρίπτουν ό,τι περιέχει αυτός ο κόμβος
yours, just out of your hand	δικό σου, μόλις έξω από το χέρι σου
