# Texto del menú de Master Looter en español de España (es).
# Traducción automática hecha por Claude, una IA de Anthropic. Todavía no
# la ha revisado ningún hablante nativo.
#
# Las correcciones son bienvenidas en GitHub
# (github.com/shin2344234/master-looter) o en la página del mod en Nexus.
#
# Una línea por texto: el original en inglés, una tabulación y la
# traducción. Las líneas que empiezan por # se ignoran. \n representa un
# salto de línea: mantén el mismo número de ellos. Una línea sin
# traducción tras la tabulación se queda en inglés, así que un archivo a
# medio hacer sigue siendo perfectamente utilizable.
#
# Todo %d, %s, %.1f y los demás marcadores deben aparecer en la
# traducción tal cual y en el mismo orden que en el inglés: sus valores se
# insertan en tiempo de ejecución, y una línea que los altere se ignora al
# cargar para no imprimir valores incorrectos.
#
# Guarda este archivo como MasterLooter.es.txt junto a MasterLooter.asi
# para que sustituya a la copia incorporada en el plugin.

  bag full	  bolsa llena
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dos botones a la vez, nunca uno: cada botón ya hace algo en este juego. El mod solo lee el mando, así que el juego sigue viendo los dos botones. Elige una pareja que no haga nada junta, como los dos gatillos superiores, o Atrás y un botón frontal.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dos cosas que contienen cosas. Los cofres, cajas y puntos de botín que abres, que rara vez responden al evento de saqueo. Y cualquier cosa en el suelo cuya función es contener algo: botellas, tarros, ollas de barro, odres, jarrones y las cajas de almacenaje que colocas. Desactivado por defecto, y desactivado quiere decir que un estante de cerámica se queda donde está. Las cajas de recompensa no entran, porque esas son botín por derecho propio y pertenecen a Tesoros y recuerdos en la pestaña Clases.\n\nLo que sale de un cofre no se comprueba contra tus filtros. El juego entrega el contenido de una sola vez y el mod nunca lo ve como objetos, así que para eso este interruptor es todo o nada.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Sin asignar hasta que lo configures. El juego llama robo a coger bienes ajenos y te pone una recompensa por ello, así que este es un interruptor que querrás activar un momento y volver a desactivar, algo que encaja mal en un menú.
Unidentified nodes	Puntos no identificados
unidentified nodes off	puntos no identificados desactivados
unidentified: could be a fish, a flying insect or a bird	no identificado: podría ser un pez, un insecto volador o un ave
unidentified: could be an insect or a small animal	no identificado: podría ser un insecto o un animal pequeño
unnamed item	objeto sin nombre
Unsellable items	Objetos invendibles
Use this language	Usar este idioma
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Usa la propia comprobación de Coger o Robar del juego; los bienes ajenos se omiten hasta que se ha observado una vez.
using the player's own field	usando el propio campo del jugador
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Verduras, fruta y grano: boniato, cebada, col, manzanas, uvas y el resto de la comida cultivada o recolectada, en la planta o suelta por el suelo. Antes dependían de Objetos en el suelo, por eso desactivar Plantas seguía vaciando un campo: de los 72 puntos de recolección del juego, 44 son cultivos y solo 28 son plantas.
Verbose log	Registro detallado
Verdict	Veredicto
waiting	esperando
waiting for the game to check an item	esperando a que el juego compruebe un objeto
waiting for the game to check ownership once	esperando a que el juego compruebe la propiedad una vez
Waiting for the world to load.	Esperando a que cargue el mundo.
Watch	Observar
Watch mode	Modo de observación
Watch mode (menu stays up, you keep playing)	Modo de observación (el menú se queda abierto y tú sigues jugando)
Watch mode: the game has your controls. %s to interact, %s to close.	Modo de observación: el juego tiene tus controles. %s para interactuar, %s para cerrar.
Weapons and armor	Armas y armaduras
What enters the working list at all. The ranges below are clamped to it.	Qué entra siquiera en la lista de trabajo. Los alcances de abajo quedan limitados por esto.
What to collect	Qué recolectar
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Gira la manivela por ti y coge lo que sube, activando las mismas transiciones de estado que activa el juego cuando mantienes pulsado el botón de interacción. Un pozo no genera ningún evento de saqueo, así que esto reproduce una secuencia capturada en vez de pedirle nada al juego. Desactivado de forma predeterminada, porque un pozo mal gestionado es un pozo que se queda sin su cubo.
Wood	Madera
wood off	madera desactivada
World (actor manager)	Mundo (gestor de actores)
worn by someone	puesto por alguien
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Equipo puesto que los enemigos sueltan al morir. Barato y pesado, pero abundante.
worn or carried by you	puesto o llevado por ti
worth %lld copper	vale %lld de cobre
Wrap the swapchain	Envolver el swapchain
Write translation template	Escribir plantilla de traducción
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Escribe MasterLooter.template.txt junto al plugin, con todas las líneas que el menú ha mostrado en esta sesión. Abre antes todas las pestañas, ya que una línea solo aparece después de haberse dibujado. Traduce el lado derecho de cada registro, guárdalo como MasterLooter.<language>.txt y pon aquí ese idioma.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Escribe los ajustes tal como están ahora en \"%s\". Cárgalo, cambia lo que quieras y guárdalo de nuevo.
Writes the settings as they are now, named %s.	Escribe los ajustes tal como están ahora, con el nombre %s.
yes	sí
your rules refuse all ore, jewels and stone	tus reglas rechazan el mineral, las gemas y la piedra
your rules refuse all stone	tus reglas rechazan toda la piedra
your rules refuse everything this node holds	tus reglas rechazan todo lo que contiene este punto
yours, just out of your hand	tuyo, recién salido de tu mano
