# Текст меню Master Looter на русском языке (ru). Машинный перевод; его пока
# не проверял живой носитель языка. Исправления приветствуются на GitHub
# (github.com/shin2344234/master-looter) или на странице мода на Nexus.
#
# Одна строка — одна фраза: сначала оригинал на английском, затем
# табуляция, затем перевод. Строки, начинающиеся с #, игнорируются. \n
# означает перенос строки внутри фразы. Если после табуляции ничего нет,
# строка остаётся на английском, поэтому недоделанный файл всё равно
# пригоден для использования.
# Каждый %d, %s, %.1f и другой заполнитель нужно сохранять в точности и
# в том же порядке — во время игры вместо них подставляются числа и
# имена, а строка с изменённым порядком заполнителей при загрузке
# игнорируется.
#
# Эта копия встроена в плагин. Чтобы изменить её без пересборки, положите
# файл с этим именем рядом с MasterLooter.asi — он в этом случае и будет
# использован вместо встроенной копии.

  bag full	  сумка заполнена
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Древесина и ветки на земле, и точки, которые их дают. То, что содержит большинство из них, читается из самих игровых данных, поэтому отклонение класса wood на вкладке Классы оставляет деревья стоять, а вместе с ними и древесину под ними. Там, где игра ничего не говорит о точке, этот переключатель — единственное управление, которое у неё есть.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Чтобы оставить один вид в покое, выставите то, во что он превращается, на «никогда» на вкладке «Предметы»: Item_Tench, Item_Ricefish, Item_Iguana. Мод читает собственную строку существа в таблице персонажей игры, поэтому знает, на какой вид он смотрит, ещё до того, как что-то поймает. Несколько нетипичных существ всё же определяются по имени модели и ловятся только по категории.
Treasure and keepsakes	Сокровища и памятные вещи
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Две кнопки сразу, никогда одна: каждая отдельная кнопка в этой игре уже что-то делает. Мод только считывает геймпад, поэтому игра всё равно видит обе кнопки. Выберите пару, которая вместе ничего не делает, например обе кнопки-триггеры на плечах, или Back вместе с одной из лицевых кнопок.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Две вещи, которые что-то вмещают. Сундуки, ящики и точки добычи, которые ты открываешь и которые редко отвечают на событие подбора. И всё на земле, чья задача — что-то вмещать: бутылки, банки, глиняные горшки, бурдюки, вазы и ящики для хранения, которые ты ставишь сам. По умолчанию выключено, и выключено значит, что полка с керамикой остаётся там, где стоит. Наградные ящики сюда не входят, потому что это добыча сама по себе и относится к Сокровища и памятные вещи на вкладке Классы.\n\nТо, что выходит из сундука, с твоими фильтрами не сверяется. Игра передаёт содержимое одним махом, и мод никогда не видит его как объекты, так что для них этот переключатель работает по принципу всё или ничего.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Не назначено, пока вы не зададите. Игра называет забор чужого имущества воровством и назначает за это награду за вашу голову, поэтому этот переключатель хочется включать на мгновение и сразу выключать обратно — а это плохо ложится на меню.
Unidentified nodes	Неопознанные точки
unidentified nodes off	неопознанные точки выключены
unidentified: could be a fish, a flying insect or a bird	неопознано: может быть рыбой, летающим насекомым или птицей
unidentified: could be an insect or a small animal	неопознано: может быть насекомым или мелким животным
unnamed item	безымянный предмет
Unsellable items	Непродаваемые предметы
Use this language	Использовать этот язык
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Использует собственную проверку игры «Взять или украсть»; чужое имущество пропускается, пока это не будет замечено хотя бы раз.
using the player's own field	используя собственное поле игрока
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Овощи, фрукты и зерно: батат, ячмень, капуста, яблоки, виноград и прочая выращенная или собранная еда — как на растении, так и лежащая отдельно. Раньше это подчинялось «Предметам на земле», поэтому выключение «Растений» всё равно опустошало поле: из 72 точек сбора в игре 44 — это урожай и лишь 28 — растения.
Verbose log	Подробный журнал
Verdict	Вердикт
waiting	ожидание
waiting for the game to check an item	ожидание проверки предмета игрой
waiting for the game to check ownership once	ожидание однократной проверки владения игрой
Waiting for the world to load.	Ожидание загрузки мира.
Watch	Наблюдение
Watch mode	Режим наблюдения
Watch mode (menu stays up, you keep playing)	Режим наблюдения (меню остаётся открытым, вы продолжаете играть)
Watch mode: the game has your controls. %s to interact, %s to close.	Режим наблюдения: управление у игры. %s — взаимодействовать, %s — закрыть.
Weapons and armor	Оружие и броня
What enters the working list at all. The ranges below are clamped to it.	Что вообще попадает в рабочий список. Радиусы ниже ограничены этим значением.
What to collect	Что собирать
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Крутит ручку за вас и забирает то, что достаётся, запуская те же переходы состояний, что и игра, когда вы удерживаете кнопку взаимодействия. Колодец вообще не создаёт события лута, поэтому это воспроизведение записанной последовательности, а не обращение к игре с запросом. Выключено по умолчанию, потому что колодец, с которым что-то пошло не так, остаётся стоять без ведра.
Wood	Дерево
wood off	дерево выключено
World (actor manager)	Мир (менеджер акторов)
worn by someone	надето кем-то
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Надетое снаряжение, которое враги роняют при смерти. Дешёвое и тяжёлое, но его много.
worn or carried by you	надето или несётся вами
worth %lld copper	стоит %lld меди
Wrap the swapchain	Обернуть цепочку обмена
Write translation template	Записать шаблон перевода
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Записывает MasterLooter.template.txt рядом с плагином со всеми строками, которые меню показало за эту сессию. Сначала откройте все вкладки, поскольку строка появляется только после того, как была отрисована. Переведите правую часть каждой записи, сохраните файл как MasterLooter.<язык>.txt и укажите этот язык здесь.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Записывает текущие настройки в \"%s\". Загрузите, измените что нужно, затем сохраните обратно.
Writes the settings as they are now, named %s.	Записывает текущие настройки под именем %s.
yes	да
your rules refuse all ore, jewels and stone	твои правила отклоняют руду, самоцветы и камень
your rules refuse all stone	твои правила отклоняют весь камень
your rules refuse everything this node holds	твои правила отклоняют всё, что содержит эта точка
part of a mechanism, not loose loot	часть механизма, а не лежащая добыча
yours, just out of your hand	ваше, только что выпавшее из рук
