# Master Looter-menyns text på svenska.
# Maskinöversatt av Claude, en AI från Anthropic. Ingen som talar
# svenska som modersmål har granskat den här filen än. Rättelser tas
# gärna emot på GitHub (github.com/shin2344234/master-looter) eller på
# moddens Nexus-sida.
#
# En rad per text: originalet på engelska, ett tabbtecken, sedan
# översättningen. Rader som börjar med # ignoreras. \n betyder ett
# radbyte i texten. En rad utan översättning efter tabbtecknet visas
# på engelska. Behåll alla %d, %s, %.1f och liknande exakt som de
# står och i samma ordning: de fylls i med siffror och namn när
# spelet körs.
#
# En fil med det här namnet bredvid MasterLooter.asi ersätter den
# inbyggda kopian.

  bag full	  väska full
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Obunden tills du ställer in den. Spelet kallar det stöld att ta ägda varor och sätter en belöning på ditt huvud för det, så det här är inställningen du vill slå på ett ögonblick och sedan av igen, vilket passar dåligt i en meny.
Unidentified nodes	Oidentifierade noder
unidentified nodes off	oidentifierade noder av
unidentified: could be a fish, a flying insect or a bird	oidentifierad: kan vara en fisk, en flygande insekt eller en fågel
unidentified: could be an insect or a small animal	oidentifierad: kan vara en insekt eller ett smådjur
unnamed item	namnlöst föremål
Unsellable items	Osäljbara föremål
Use this language	Använd det här språket
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Använder spelets egen Ta eller Stjäl-kontroll; ägda varor hoppas över tills den observerats en gång.
using the player's own field	med hjälp av spelarens eget fält
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Grönsaker, frukt och spannmål: sötpotatis, korn, kål, äpplen, vindruvor och resten av den odlade och insamlade maten, på plantan eller liggande löst. De lydde tidigare under Föremål på marken, vilket är varför att slå av Växter ändå tömde ett fält: av spelets 72 insamlingsplatser är 44 grödor och bara 28 växter.
Verbose log	Utförlig logg
Verdict	Utslag
waiting	väntar
waiting for the game to check an item	väntar på att spelet ska kontrollera ett föremål
waiting for the game to check ownership once	väntar på att spelet ska kontrollera ägarskap en gång
Waiting for the world to load.	Väntar på att världen ska läsas in.
Watch	Bevaka
Watch mode	Bevakningsläge
Watch mode (menu stays up, you keep playing)	Bevakningsläge (menyn ligger kvar, du fortsätter spela)
Watch mode: the game has your controls. %s to interact, %s to close.	Bevakningsläge: spelet har dina kontroller. %s för att interagera, %s för att stänga.
Weapons and armor	Vapen och rustning
What enters the working list at all. The ranges below are clamped to it.	Vad som över huvud taget kommer in i arbetslistan. Avstånden nedan begränsas till det.
What to collect	Vad som ska samlas in
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Vevar handtaget åt dig och tar det som kommer upp, genom att driva samma tillståndsövergångar som spelet driver när du håller ner interagera-knappen. En brunn ger aldrig upphov till någon loot-händelse alls, så det här är en uppspelning av en fångad sekvens snarare än att spelet tillfrågas om något. Av som standard, eftersom en brunn den gör fel blir en brunn som står kvar utan sin hink.
Wood	Trä
wood off	trä av
World (actor manager)	Värld (aktörshanterare)
worn by someone	bärs av någon
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Buren utrustning som fiender tappar när de dör. Billigt och tungt, men rikligt.
worn or carried by you	bärs av dig
worth %lld copper	värt %lld koppar
Wrap the swapchain	Linda in swapchain
Write translation template	Skriv översättningsmall
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Skriver MasterLooter.template.txt bredvid pluginen, med varje rad menyn har visat denna session. Öppna varje flik först, eftersom en rad bara dyker upp när den har ritats. Översätt högerkolumnen i varje post, spara den som MasterLooter.<språk>.txt, och ange det språket här.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Skriver inställningarna som de är nu till \"%s\". Läs in den, ändra vad du vill, och spara sedan tillbaka den.
Writes the settings as they are now, named %s.	Skriver inställningarna som de är nu, med namnet %s.
yes	ja
your rules refuse all ore, jewels and stone	dina regler nekar malm, ädelstenar och sten allihop
your rules refuse all stone	dina regler nekar all sten
your rules refuse everything this node holds	dina regler nekar allt den här noden innehåller
yours, just out of your hand	ditt, nyss ur handen
