# Master Looter-menuteksten på dansk (da). Maskinoversat. Ingen indfødt
# dansktalende har gennemgået oversættelsen endnu. Rettelser modtages gerne på
# GitHub (github.com/shin2344234/master-looter) eller på moddets Nexus-side.
#
# Én linje pr. tekst: den engelske original, et tabulatortegn og
# oversættelsen. Linjer, der starter med #, ignoreres. \n betyder et
# linjeskift. En linje uden oversættelse efter tabulatoren vises fortsat
# på engelsk, så en delvist færdig fil sagtens kan bruges.
# Hold hvert %d, %s, %.1f og lignende pladsholder præcis som det står og
# i samme rækkefølge: de udfyldes med tal og navne, når spillet kører, og
# en linje, der ændrer dem, ignoreres i stedet for at blive brugt forkert.
#
# Gem filen som MasterLooter.da.txt ved siden af MasterLooter.asi; den
# tilsidesætter den indbyggede kopi i pluginet.

  bag full	  tasken er fuld
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Denne session: %ld samlet op, %ld indsamlet, %ld fanget, %ld kadavere
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Tømmer og grene på jorden, og de punkter, der giver dem. Hvad de fleste af dem indeholder, læses ud af spillets egne data, så at afvise klassen wood under fanen Klasser lader træerne stå og ligeledes tømmeret under dem. Hvor spillet intet siger om et punkt, er denne kontakt den eneste styring, det har.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	For at lade én art være i fred, sæt det, den bliver til, til aldrig under fanen Genstande: Item_Tench, Item_Ricefish, Item_Iguana. Moddet læser skabningens egen række i spillets karaktertabel, så det ved, hvilken art det kigger på, før det fanger noget. Nogle få usædvanlige skabninger falder stadig tilbage på at gætte ud fra deres modelnavn og fanges kun efter kategori.
Treasure and keepsakes	Skatte og minder
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	To knapper på én gang, aldrig én: hver eneste knap gør allerede noget i dette spil. Moddet læser kun controlleren, så spillet ser stadig begge knapper. Vælg et par, der ikke gør noget sammen, som de to skulderknapper, eller Back og en frontknap.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	To ting, der indeholder ting. De kister, kasser og byttepunkter, du åbner, og som sjældent svarer på plyndringsbegivenheden. Og alt på jorden, hvis opgave det er at indeholde noget: flasker, krukker, lerpotter, vandsække, vaser og de opbevaringskasser, du stiller. Slået fra som standard, og fra betyder, at en hylde med lertøj bliver stående, hvor den står. Belønningskister er ikke omfattet, for de er bytte i sig selv og hører til Skatte og minder under fanen Klasser.\n\nDet, der kommer ud af en kiste, holdes ikke op mod dine filtre. Spillet afleverer indholdet i ét stykke, og modet ser det aldrig som genstande, så for dem er denne kontakt alt eller intet.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Ubundet, indtil du sætter den. Spillet kalder det tyveri at tage ejede varer og sætter en dusør på dig for det, så dette er en kontakt, du vil have til et øjeblik og fra igen, hvilket passer dårligt til en menu.
Unidentified nodes	Uidentificerede punkter
unidentified nodes off	uidentificerede punkter fra
unidentified: could be a fish, a flying insect or a bird	uidentificeret: kunne være en fisk, et flyvende insekt eller en fugl
unidentified: could be an insect or a small animal	uidentificeret: kunne være et insekt eller et smådyr
unnamed item	unavngiven genstand
Unsellable items	Usælgelige genstande
Use this language	Brug dette sprog
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Bruger spillets eget Tag eller Stjæl-tjek; ejede varer springes over, indtil det er observeret én gang.
using the player's own field	ved brug af spillerens eget felt
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Grøntsager, frugt og korn: sød kartoffel, byg, kål, æbler, druer og resten af den dyrkede og indsamlede mad, på planten eller liggende løst. Disse hørte tidligere under Genstande på jorden, hvilket er grunden til, at det stadig tømte en mark at slå Planter fra: af de 72 indsamlingssokler i spillet er 44 afgrøder og kun 28 planter.
Verbose log	Detaljeret log
Verdict	Afgørelse
waiting	venter
waiting for the game to check an item	venter på, at spillet tjekker en genstand
waiting for the game to check ownership once	venter på, at spillet tjekker ejerskab én gang
Waiting for the world to load.	Venter på, at verdenen indlæses.
Watch	Overvåg
Watch mode	Overvågningstilstand
Watch mode (menu stays up, you keep playing)	Overvågningstilstand (menuen bliver oppe, du bliver ved med at spille)
Watch mode: the game has your controls. %s to interact, %s to close.	Overvågningstilstand: spillet har dine kontroller. %s for at interagere, %s for at lukke.
Weapons and armor	Våben og rustning
What enters the working list at all. The ranges below are clamped to it.	Hvad der overhovedet kommer på arbejdslisten. Afstandene nedenfor er begrænset af den.
What to collect	Hvad der skal indsamles
Winds the handle for you and takes what comes up, by driving the same state transitions the game drives when you hold the interact button. A well raises no loot event at all, so this is a replay of a captured sequence rather than the game being asked for anything. Off by default, because a well it gets wrong is a well left standing without its bucket.	Drejer håndtaget for dig og tager det, der kommer op, ved at drive de samme tilstandsovergange, spillet driver, når du holder interaktionsknappen nede. En brønd udløser slet ingen loot-hændelse, så dette er en genafspilning af en indfanget sekvens frem for at spillet bliver bedt om noget. Fra som standard, fordi en brønd, det går galt for, er en brønd, der står tilbage uden sin spand.
Wood	Træ
wood off	træ fra
World (actor manager)	Verden (actor manager)
worn by someone	båret af nogen
Worn gear that enemies drop as they die. Cheap and heavy, but plentiful.	Udstyr, fjender bar, og som de dropper, når de dør. Billigt og tungt, men rigeligt.
worn or carried by you	båret eller medbragt af dig
worth %lld copper	%lld kobber værd
Wrap the swapchain	Indpak swapchain'et
Write translation template	Skriv oversættelsesskabelon
Writes MasterLooter.template.txt beside the plugin, holding every line the menu has shown this session. Open every tab first, since a line only appears once it has been drawn. Translate the right-hand side of each record, save it as MasterLooter.<language>.txt, and put that language here.	Skriver MasterLooter.template.txt ved siden af plugin'et med alle linjer, menuen har vist i denne session. Åbn alle faner først, da en linje kun vises, når den er blevet tegnet. Oversæt højresiden af hver post, gem den som MasterLooter.<language>.txt, og angiv det sprog her.
Writes the settings as they are now into \"%s\". Load it, change what you like, then save it back.	Skriver indstillingerne, som de er nu, ind i \"%s\". Indlæs den, ret hvad du vil, og gem den så igen.
Writes the settings as they are now, named %s.	Skriver indstillingerne, som de er nu, med navnet %s.
yes	ja
your rules refuse all ore, jewels and stone	dine regler afviser malm, ædelsten og sten alle sammen
your rules refuse all stone	dine regler afviser al sten
your rules refuse everything this node holds	dine regler afviser alt, hvad dette punkt indeholder
part of a mechanism, not loose loot	del af en mekanisme, ikke løst bytte
yours, just out of your hand	din, lige ude af din hånd
